ID,领域,模块,功能,对标Obsidian,建议层,里程碑,优先级,状态,备注
SHELL-001,应用外壳,窗口与启动,无边框窗口与自绘标题栏,Desktop app shell,renderer+main,MVP,P0,done,已实现基础版本
SHELL-002,应用外壳,窗口与启动,窗口最小化/最大化/关闭按钮,Desktop app shell,renderer+main,MVP,P0,done,Windows 风格按钮
SHELL-003,应用外壳,窗口与启动,双击标题栏切换最大化,Desktop app shell,renderer+main,MVP,P1,done,
SHELL-004,应用外壳,窗口与启动,窗口拖拽区域与可交互区域划分,Desktop app shell,renderer+main,MVP,P0,done,-webkit-app-region
SHELL-005,应用外壳,窗口与启动,macOS traffic lights 适配,Desktop app shell,main+renderer,V2,P2,todo,
SHELL-006,应用外壳,窗口与启动,多窗口（新窗口打开 vault/笔记）,Workspaces 多窗口体验,main+renderer,V2,P1,todo,
SHELL-007,应用外壳,窗口与启动,系统托盘与快速操作,Desktop app shell,main,Later,P3,todo,
SHELL-008,应用外壳,窗口与启动,协议 URL 打开（xnote://）,Obsidian URI,main,V2,P2,todo,用于从外部打开笔记/命令
SHELL-009,应用外壳,窗口与启动,开机自启动（可选）,Desktop app shell,main,Later,P3,todo,
SHELL-010,应用外壳,窗口与启动,自动更新,Desktop app shell,build+main,Later,P2,todo,electron-updater 等
SHELL-011,应用外壳,窗口与启动,崩溃恢复与重启提示,File recovery,main,Later,P2,todo,
SHELL-012,应用外壳,窗口与启动,日志与诊断导出,Help/Debug,main,Later,P2,todo,

UI-001,界面,布局,左侧 Ribbon 工具栏,Obsidian Ribbon,renderer,MVP,P0,done,
UI-002,界面,布局,左右侧栏开关,Obsidian Sidebars,renderer,MVP,P0,done,
UI-003,界面,布局,左右侧栏拖拽调整宽度,Obsidian Sidebars,renderer,MVP,P0,done,
UI-004,界面,布局,左侧栏视图切换（文件/搜索）,File explorer/Search,renderer,MVP,P1,done,搜索支持标题/路径模糊匹配
UI-005,界面,布局,右侧栏页签（大纲/反链/助手）,Outline/Backlinks,renderer,MVP,P1,partial,助手为占位
UI-006,界面,布局,顶部标签页（文件 tabs）,Open files,renderer,MVP,P0,done,已合并到顶栏
UI-007,界面,布局,标签页拖拽排序,Open files,renderer,V1,P2,todo,
UI-008,界面,布局,标签页拖拽到分屏（pane split）,Workspaces panes,renderer,V2,P1,todo,
UI-009,界面,布局,分屏编辑与面板管理,Workspaces panes,renderer,V2,P1,todo,核心对标能力
UI-010,界面,布局,布局持久化（每个 vault 记住面板状态）,Workspaces,shared+main,V1,P1,todo,
UI-011,界面,布局,状态栏显示（vault/路径/字数等）,Status bar/Word count,renderer,MVP,P2,done,已实现基础版本
UI-012,界面,布局,状态栏自定义项目,Status bar,renderer,V2,P3,todo,
